id;item_price_per_stack;number_per_stack;time_updated;item_name
1;37252;51169;2022-04-19T16:41:56;SolarProtection
2;14270;35193;2022-04-20T03:55:28;DestructionStoneFragment
3;44102;38020;2022-04-20T02:24:54;GuardianStoneFragment
4;83125;50804;2022-04-20T02:50:17;GuardianStoneCrystal
5;7222;53344;2022-04-20T06:31:50;DestructionStone
6;19111;83076;2022-04-19T18:42:11;MoonsBreaths
7;81547;25284;2022-04-19T18:15:00;GuardianStone
8;2903;12825;2022-04-20T02:42:11;BasicOrehaFusionMaterial
9;83429;78733;2022-04-20T07:19:55;HonorShard
10;96566;83913;2022-04-19T17:22:16;DestructionStoneCrystal
