id;base_percent;addition_percent_per_fail;max_percent_after_mats;fusion_mat_1_amount;fusion_mat_2_amount;fusion_mat_3_amount;fail_limit;amount_diff
1;38089;19672;4095;11631;98860;27961;18176;15151
2;44285;54717;72266;41222;42124;47479;88071;83491
3;31619;5183;41977;73189;30657;57670;84656;79042
4;55581;26590;261;67457;19716;56389;88923;19438
5;79517;67722;88318;59581;77176;40398;73922;18370
6;29023;76237;44871;13555;40568;77458;75000;24616
7;49914;96341;83643;17167;85919;41777;77135;87897
8;29128;80804;46337;25;91977;61984;19934;21324
9;59781;59857;31981;13785;17105;11427;22346;7094
10;88245;85079;66348;85261;42966;39748;4037;36685
