id;tier;level;shard_type;equip_type;fusion_material_name_1;fusion_material_num_1;fusion_material_name_2;fusion_material_num_2;fusion_material_name_3;fusion_material_num_3
1;75643;54648;Guardian;Armor;transmit parsing;74883;PNG compress green;89569;stable;98074
2;78150;67157;Guardian;Weapon;Franc;29373;Sports;65148;applications grey Bike;57032
3;86744;35098;Destruction;Armor;Assurance Producer functionalities;22392;Manat;21089;Fish;39233
4;67146;70426;Destruction;Weapon;Concrete Reduced sexy;82957;magenta;80048;Integration;8264
5;44515;20151;Destruction;Weapon;mission-critical orchid;90513;Personal Djibouti Estonia;51364;Marketing Investment;2514
6;66838;6847;Destruction;Armor;cross-platform composite Utah;55261;Chicken Loan;48003;Account architectures;4891
7;91622;93936;Destruction;Weapon;Specialist clicks-and-mortar;48989;Nevada deposit;86397;card Markets;44432
8;62635;17530;Guardian;Weapon;Franc;53314;New morph;24618;Beauty multi-byte;37138
9;63218;68696;Destruction;Weapon;vertical green;30370;Inverse architectures Florida;60765;Account;31938
10;93296;95865;Guardian;Armor;silver;99892;withdrawal;92189;Berkshire deposit Keyboard;49185
