id;item_price_per_stack;number_per_stack;time_updated;item_name
1;37252;51169;2022-04-21T21:22:06;SolarProtection
2;14270;35193;2022-04-22T08:35:38;DestructionStoneFragment
3;44102;38020;2022-04-22T07:05:04;GuardianStoneFragment
4;83125;50804;2022-04-22T07:30:27;GuardianStoneCrystal
5;7222;53344;2022-04-22T11:12:00;DestructionStone
6;19111;83076;2022-04-21T23:22:21;MoonsBreaths
7;81547;25284;2022-04-21T22:55:10;GuardianStone
8;2903;12825;2022-04-22T07:22:21;BasicOrehaFusionMaterial
9;83429;78733;2022-04-22T12:00:05;HonorShard
10;96566;83913;2022-04-21T22:02:26;DestructionStoneCrystal
